Ec_over_kT,tail_number_fraction,M1_ratio,M2_ratio,M3_ratio
1.500000000000000000e+00,5.457719612058404834e-01,3.223220425272095846e-01,8.156271092527174471e-02,1.810161626937792714e-02
2.000000000000000000e+00,4.086313980400689827e-01,4.402624058742840019e-01,1.537058474145254483e-01,4.681480966469791366e-02
3.000000000000000000e+00,2.152581183324002723e-01,6.136551392670795968e-01,3.239616684195501528e-01,1.518076910866333618e-01
4.000000000000000000e+00,1.069761127867731865e-01,7.582552056106606209e-01,5.149401977787584350e-01,3.125965052077968598e-01
5.000000000000000000e+00,5.102167600511143403e-02,8.605386520603852674e-01,6.816759568271267833e-01,4.899928770375052145e-01
